Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x177a04a0f8f876ad610079a6f7b588fa2cffa325","","18,863,794.38","22.1829%",""
"2","0x8d0e07cb0c966dca466fba84a49327c2996cdfad","","18,591,983.079966757279104907","21.8633%",""
"3","0x6bed9720fd53b3764e93dd0753c95674cd9b82ce","","15,975,530.19","18.7864%",""
"4","0x02bb278d4300919f82318db9f54067df636ff98f","","9,381,089.88","11.0317%",""
"5","0x822bf2fd502d7eaa679bdce365cb620a05924e2c","","3,691,256.03679125910149301","4.3407%",""
"6","0x9f3900c6bad5a52cc3210dd2f65062141c88de2f","","3,569,104.84","4.1971%",""
"7","0x22a4b7a02209958d1cf38d524cb27b9dd59cc36e","","3,046,474.14","3.5825%",""
"8","0x5a7534ac36bc47b7d4d5fafe87f554f61c3b6f57","","1,883,839","2.2153%",""
"9","0xb7a4c8316ecd34b003fb97b9c1e72fbbaab4dd17","","1,514,060","1.7805%",""
"10","0xe27f33ca8037a2b0f4d3d4f9b8ccd896c2674484","","1,180,954.003932876064026524","1.3887%",""
"11","0x34332cb58a4eaae32dd7967e77dc02ae340c3a18","","1,001,462.66","1.1777%",""
"12","0x2d1f903cde37f1a1af300fee2b101c8816571dc8","","1,000,000","1.1760%",""
"13","0x8af35bac4123a6e03359ac10f453778935243300","","743,511.2","0.8743%",""
"14","0x36524c09019f7fe2cb2b478acb7607801deacf87","","694,747.11","0.8170%",""
"15","0x47b40b165c6ab95823d7f66d455c02ec8eb10c96","","569,790.43","0.6700%",""
"16","0x5162bcb4e123bcd25d47c73ee3a5de4e9756598a","","499,069.1","0.5869%",""
"17","0xdd55b085f614769af239315d26c3c63ea8b879c4","","477,481.79","0.5615%",""
"18","0x859a4cf3f09f1cbd31207e9567e817906a8f4a44","","397,961.92","0.4680%",""
"19","0x677edb3a760effbe68dce6aa70805125bf98fc2b","","345,952.67","0.4068%",""
"20","0xe5c06923632c50a62a7886b8dce2fb818dadb1b0","","256,903.08","0.3021%",""
"21","0x33078d33ee146dd6e516135bbd8a1c33e4ae5d7f","","200,388.48","0.2356%",""
"22","0x19fc3146eed7b758893c32fdfb97754c13353756","","196,165.53","0.2307%",""
"23","0xf28f9ed3fb6e8b62e3c8a7b82bd882b223235e89","","183,200.59","0.2154%",""
"24","0xbd0297ae3baa6beb07eccb9be5f4837060a0c55e","","182,415.37","0.2145%",""
"25","0x0957113815e0a0b0584cc22c62f926217e7944d8","","78,000","0.0917%",""
"26","0x62a9ca1b9b290adf12ddb54c406372ff6eae9e69","","76,000","0.0894%",""
"27","0x3b34bb9f25dfe0834498c07848e2797a40790af1","","73,000","0.0858%",""
"28","0xed0d11519ea2dda63c2c0d0eb7e7e36de7cf2f48","","71,545.53","0.0841%",""
"29","0xdc79f609594343ca984019dd297d541db5982809","","70,853.62","0.0833%",""
"30","0xbd5ed59cfad964a3252423e1ba354a35f9bd4160","","69,390.53","0.0816%",""
"31","0xc63db28a195fe9083b2983ebe86667f77786aebf","","34,098.56","0.0401%",""
"32","0xf7a31f4f7b2a35ea22b666fc90304c8acca5dde1","","24,000","0.0282%",""
"33","0xc4b6f66130a12172584f0061e9fee98e6c6c4076","","20,223.97","0.0238%",""
"34","0x3b5b4d378e81ac706ff4c6a5db902ca762979bea","","20,000","0.0235%",""
"35","0x65848b5c4c075ddb57fa27e6f2be342bbde9085d","","18,000","0.0212%",""
"36","0x8ed18ac8102c10cb3bea0cd3e1a49b8b88427150","","11,210.38","0.0132%",""
"37","0x23809d6b46c9e9be75d52c43a8f74f2bff57d180","","10,200","0.0120%",""
"38","0x5eedd82bf602d48c6e5578e9f6222de6e0674278","","7,727.92","0.0091%",""
"39","0xe91667b351aeada5b745de94706a9959e8767708","","3,996","0.0047%",""
"40","0xcbc404c6ac777e026f309b37b496dbffd52a60e3","","1,864","0.0022%",""
"41","0xbd5a22fd5747782b3e08a2b5b538256d320013fc","","308","0.0004%",""
"42","0x2687fe290b54d824c136ceff2d5bd362bc62019a","","26","0.0000%",""
"43","0xa961f734f6e632174057ee52403e7d8cc783f140","","0.0004","0.0000%",""